"id","full_name","team_name","position","height","weight","bat_side","pitch_hand","height_inches"
676059,"Jordan Westburg","Baltimore Orioles","Third Base","6' 1""",215,"R","R",73
554430,"Zack Wheeler","Philadelphia Phillies","Pitcher","6' 4""",195,"L","R",76
694376,"Shay Whitcomb","Houston Astros","Third Base","6' 0""",202,"R","R",72
642201,"Eli White","Atlanta Braves","Outfielder","6' 2""",195,"R","R",74
669952,"Mitch White","Milwaukee Brewers","Pitcher","6' 3""",210,"R","R",75
669391,"Owen White","Texas Rangers","Pitcher","6' 3""",200,"R","R",75
666215,"Forrest Whitley","Houston Astros","Pitcher","6' 7""",208,"R","R",79
676477,"Garrett Whitlock","Boston Red Sox","Pitcher","6' 5""",222,"R","R",77
696136,"Jordan Wicks","Chicago Cubs","Pitcher","6' 3""",220,"L","L",75
686894,"Joey Wiemer","Cincinnati Reds","Outfielder","6' 4""",226,"R","R",76
675961,"Alika Williams","Pittsburgh Pirates","Shortstop","6' 1""",183,"R","R",73
642207,"Devin Williams","Milwaukee Brewers","Pitcher","6' 2""",193,"R","R",74
668909,"Gavin Williams","Cleveland Guardians","Pitcher","6' 6""",250,"L","R",78
663897,"Luke Williams","Atlanta Braves","Shortstop","6' 1""",186,"R","R",73
592866,"Trevor Williams","Washington Nationals","Pitcher","6' 3""",231,"R","R",75
682227,"Brandon Williamson","Cincinnati Reds","Pitcher","6' 6""",210,"R","L",78
686294,"Amos Willingham","Washington Nationals","Pitcher","6' 4""",223,"R","R",76
669060,"Bryse Wilson","Milwaukee Brewers","Pitcher","6' 2""",255,"R","R",74
805779,"Jacob Wilson","Oakland Athletics","Shortstop","6' 2""",190,"R","R",74
458677,"Justin Wilson","Cincinnati Reds","Pitcher","6' 2""",205,"L","L",74
621051,"Steven Wilson","Chicago White Sox","Pitcher","6' 4""",220,"R","R",76
642215,"Weston Wilson","Philadelphia Phillies","Third Base","6' 3""",215,"R","R",75
642216,"Allan Winans","Atlanta Braves","Pitcher","6' 2""",180,"R","R",74
670174,"Josh Winckowski","Boston Red Sox","Pitcher","6' 4""",215,"R","R",76
680739,"Josh Winder","Minnesota Twins","Pitcher","6' 5""",210,"R","R",77
622259,"Trey Wingenter","Chicago Cubs","Pitcher","6' 7""",237,"R","R",79
608385,"Jesse Winker","New York Mets","Outfielder","6' 2""",206,"L","L",74
668390,"Cole Winn","Texas Rangers","Pitcher","6' 2""",190,"R","R",74
676775,"Keaton Winn","San Francisco Giants","Pitcher","6' 4""",230,"R","R",76
691026,"Masyn Winn","St. Louis Cardinals","Shortstop","5' 9""",185,"R","R",69
621550,"Patrick Wisdom","Chicago Cubs","Third Base","6' 2""",220,"R","R",74
689172,"Brett Wisely","San Francisco Giants","Second Base","5' 9""",185,"L","R",69
677951,"Bobby Witt Jr.","Kansas City Royals","Shortstop","6' 1""",200,"R","R",73
657136,"Connor Wong","Boston Red Sox","Catcher","5' 10""",190,"R","R",70
693433,"Bryan Woo","Seattle Mariners","Pitcher","6' 2""",205,"R","R",74
695578,"James Wood","Washington Nationals","Outfielder","6' 6""",234,"L","R",78
622072,"Alex Wood","Oakland Athletics","Pitcher","6' 4""",215,"R","L",76
663765,"Jake Woodford","Pittsburgh Pirates","Pitcher","6' 4""",215,"R","R",76
680573,"Simeon Woods Richardson","Minnesota Twins","Pitcher","6' 3""",210,"R","R",75
680736,"Justin Wrobleski","Los Angeles Dodgers","Pitcher","6' 1""",194,"L","L",73
642851,"Austin Wynns","Cincinnati Reds","Catcher","6' 1""",190,"R","R",73
808967,"Yoshinobu Yamamoto","Los Angeles Dodgers","Pitcher","5' 10""",176,"R","R",70
